age_group,rate_100000,year,type
<1,107.9,2015-2016,hosp
<1,95.8,2014-2015,hosp
<1,157.2,2013-2014,hosp
<1,0.7,2015-2016,deaths
<1,0,2014-2015,deaths
<1,2.1,2013-2014,deaths
1_4,70,2015-2016,hosp
1_4,34.2,2014-2015,hosp
1_4,59.2,2013-2014,hosp
1_4,0,2015-2016,deaths
1_4,0.2,2014-2015,deaths
1_4,0.5,2013-2014,deaths
15_24,3.2,2015-2016,hosp
15_24,2.9,2014-2015,hosp
15_24,4.4,2013-2014,hosp
15_24,0.3,2015-2016,deaths
15_24,0.1,2014-2015,deaths
15_24,0.1,2013-2014,deaths
25_44,6.6,2015-2016,hosp
25_44,4.5,2014-2015,hosp
25_44,10.2,2013-2014,hosp
25_44,0.1,2015-2016,deaths
25_44,0.1,2014-2015,deaths
25_44,0.4,2013-2014,deaths
45_64,15.3,2015-2016,hosp
45_64,12.5,2014-2015,hosp
45_64,23.8,2013-2014,hosp
45_64,0.9,2015-2016,deaths
45_64,0.5,2014-2015,deaths
45_64,1.8,2013-2014,deaths
5_14,17.6,2015-2016,hosp
5_14,10.6,2014-2015,hosp
5_14,13.4,2013-2014,hosp
5_14,0.1,2015-2016,deaths
5_14,0.1,2014-2015,deaths
5_14,0.2,2013-2014,deaths
65+,42.3,2015-2016,hosp
65+,161.8,2014-2015,hosp
65+,78.5,2013-2014,hosp
65+,3.7,2015-2016,deaths
65+,16.2,2014-2015,deaths
65+,8.1,2013-2014,deaths
