"","R0","VE","interv_cvg_rate","interv_start","percentMean"
"1","Moderate transmissibility","High efficacy",150,-28,11.6756976649763
"2","Moderate transmissibility","High efficacy",150,-14,9.24834037266865
"3","Moderate transmissibility","High efficacy",150,0,6.15263151514419
"4","Moderate transmissibility","High efficacy",150,14,3.59404929484893
"5","Moderate transmissibility","High efficacy",150,28,1.31390528807368
"6","Moderate transmissibility","High efficacy",300,-28,23.8404041831993
"7","Moderate transmissibility","High efficacy",300,-14,18.699933184098
"8","Moderate transmissibility","High efficacy",300,0,12.7309804265826
"9","Moderate transmissibility","High efficacy",300,14,7.319177178626
"10","Moderate transmissibility","High efficacy",300,28,2.6092856329272
"11","Moderate transmissibility","High efficacy",600,-28,50.3252101279029
"12","Moderate transmissibility","High efficacy",600,-14,38.5062114109021
"13","Moderate transmissibility","High efficacy",600,0,25.8461738010137
"14","Moderate transmissibility","High efficacy",600,14,15.0342006740797
"15","Moderate transmissibility","High efficacy",600,28,5.26290413955812
"16","Moderate transmissibility","High efficacy",1200,-28,59.6306389672043
"17","Moderate transmissibility","High efficacy",1200,-14,57.4382958628081
"18","Moderate transmissibility","High efficacy",1200,0,49.0154063545325
"19","Moderate transmissibility","High efficacy",1200,14,29.1987756882927
"20","Moderate transmissibility","High efficacy",1200,28,10.4698311404992
"21","Moderate transmissibility","Low efficacy",150,-28,3.21230515065763
"22","Moderate transmissibility","Low efficacy",150,-14,2.47103478143287
"23","Moderate transmissibility","Low efficacy",150,0,1.62451333586256
"24","Moderate transmissibility","Low efficacy",150,14,0.863505943387735
"25","Moderate transmissibility","Low efficacy",150,28,0.223323542712156
"26","Moderate transmissibility","Low efficacy",300,-28,6.80166762279128
"27","Moderate transmissibility","Low efficacy",300,-14,5.06250163865015
"28","Moderate transmissibility","Low efficacy",300,0,3.35689522993472
"29","Moderate transmissibility","Low efficacy",300,14,1.7541273476803
"30","Moderate transmissibility","Low efficacy",300,28,0.463106281052696
"31","Moderate transmissibility","Low efficacy",600,-28,14.2086915761488
"32","Moderate transmissibility","Low efficacy",600,-14,10.7389182948615
"33","Moderate transmissibility","Low efficacy",600,0,7.10704733387275
"34","Moderate transmissibility","Low efficacy",600,14,3.57352834450457
"35","Moderate transmissibility","Low efficacy",600,28,0.933559069475967
"36","Moderate transmissibility","Low efficacy",1200,-28,18.4964011299994
"37","Moderate transmissibility","Low efficacy",1200,-14,18.0220305234456
"38","Moderate transmissibility","Low efficacy",1200,0,14.2815297774574
"39","Moderate transmissibility","Low efficacy",1200,14,7.46868101938173
"40","Moderate transmissibility","Low efficacy",1200,28,1.90414624484636
"41","High transmissibility","High efficacy",150,-28,8.06927370406427
"42","High transmissibility","High efficacy",150,-14,5.74609796718394
"43","High transmissibility","High efficacy",150,0,3.39576202507437
"44","High transmissibility","High efficacy",150,14,1.06050571825886
"45","High transmissibility","High efficacy",150,28,0.000239282921255326
"46","High transmissibility","High efficacy",300,-28,15.989019733106
"47","High transmissibility","High efficacy",300,-14,11.5229516337814
"48","High transmissibility","High efficacy",300,0,6.75890828493013
"49","High transmissibility","High efficacy",300,14,2.12489716204389
"50","High transmissibility","High efficacy",300,28,0.000739192344829322
"51","High transmissibility","High efficacy",600,-28,29.1681068774836
"52","High transmissibility","High efficacy",600,-14,22.0924271887665
"53","High transmissibility","High efficacy",600,0,13.4255592202158
"54","High transmissibility","High efficacy",600,14,4.24914037199584
"55","High transmissibility","High efficacy",600,28,0.00123694265501842
"56","High transmissibility","High efficacy",1200,-28,41.4011231919028
"57","High transmissibility","High efficacy",1200,-14,37.9332545653378
"58","High transmissibility","High efficacy",1200,0,24.7112065327652
"59","High transmissibility","High efficacy",1200,14,8.41053769131257
"60","High transmissibility","High efficacy",1200,28,0.00256146024273416
"61","High transmissibility","Low efficacy",150,-28,2.21369238274076
"62","High transmissibility","Low efficacy",150,-14,1.54021718903309
"63","High transmissibility","Low efficacy",150,0,0.785895630901954
"64","High transmissibility","Low efficacy",150,14,0.168359317951867
"65","High transmissibility","Low efficacy",150,28,0
"66","High transmissibility","Low efficacy",300,-28,4.35228605969711
"67","High transmissibility","Low efficacy",300,-14,3.07771744505663
"68","High transmissibility","Low efficacy",300,14,0.307091579831412
"69","High transmissibility","Low efficacy",300,28,0
"70","High transmissibility","Low efficacy",600,-28,8.59479399687488
"71","High transmissibility","Low efficacy",600,-14,6.0731212947022
"72","High transmissibility","Low efficacy",600,0,3.08109436075796
"73","High transmissibility","Low efficacy",600,28,0.000144344044328068
"74","High transmissibility","Low efficacy",1200,-28,13.5238293163625
"75","High transmissibility","Low efficacy",1200,-14,11.4689013873595
"76","High transmissibility","Low efficacy",1200,0,6.17239360728874
"77","High transmissibility","Low efficacy",1200,14,1.28273231079337
"78","High transmissibility","Low efficacy",1200,28,0.000434277115126169
